Unit_ID,Item_ID,Quantity,Price (€),Rate (Price/Quality)
Raisins Secs Sultanine Bio (2.5kg),Raisins,2.5,18,7.2
Gros Flocons D'Avoine Bio (3kg),Organic Large Oat Flakes,3,6.6,2.2
Riz Basmati Complet Bio En Vrac (1kg),Rice,1,3.5,3.5
Boulgour Bio En Vrac (1kg),Bulgur,1,3.15,3.15
Couscous Complet Bio En Vrac (1kg),Couscous,1,2.3,2.3
Spaghettis Demi-Complets Bio (5kg),Spaghetti,5,11.08,2.216
Fusilli Semi Complètes Bio (5kg),Fusilli,5,12.75,2.55
Graines de Millet Bio En Vrac (1kg),Millet,1,3.5,3.5
Polenta (Semoule de Maïs) Bio (1kg),Polenta,1,3.55,3.55
"Farine de sarrasin Bio (2,5kg)",Sarassin flour,2.5,7.82,3.128
1kg,Sarassin,1,4.3,4.3
Pois chiches Bio (5kg),Chickpeas,5,17.9,3.58
Lentilles Vertes Bio En Vrac (1kg),Green lentils,1,4.59,4.59
Lentilles Vertes Bio En Vrac (3kg),Green lentils,3,12.99,4.33
Lentilles Corail Bio (3kg),Coral lentils,3,9.9,3.3
Pois Cassés Bio (1kg),Green split peas,1,3.99,3.99
Pois Cassés Bio (5kg),Green split peas,5,18.99,3.798
Haricots Blancs Bio En Vrac (1kg),White beans,1,5.09,5.09
Protéines de Soja Gros Morceaux Bio En Vrac,Soy mince,1,2.99,2.99
Graines de Tournesol Bio En Vrac (500gr),Sunflower seeds,0.5,1.99,3.98
Graines De Chia Bio En Vrac (500gr),Chia seeds,0.5,3.4,6.8
Graines de Lin Brun Bio En Vrac (500gr),Flax seeds,0.5,2.39,4.78
Graines de Sésame Bio En Vrac (500gr),Sesam,0.5,2.97,5.94
Sucre Roux Bio En Vrac,Sugar,1,2.95,2.95
Café en Grains Corsé Afrique Bio et Equitable,Coffee,1,6.99,6.99
Tamari Strong Bio (1L),Soy sauce,1,11.3,11.3
"Vinaigre Balsamique de Modène IGP
Bio (1L)",Vinaigre Balsamico,1,6.39,6.39
(1L),Apple_Cider_Vinegar,1,2.79,2.79
"Passata Bio
(1 Jar)",Tomato_Puree,0.68,1.55,1.55
3L,Sunflower_Oil,3,10.8,3.6
3L,Olive_Oil,3,35.6,11.8666666666667
"2,5kg",Almonds,2.5,31.11,12.444
"2,5kg",Peanuts,2.5,18.53,7.412
1kg,Amazonian_Nuts,1,14.99,14.99
