Item_ID,Unit,Smallest_Unit,DisplayName,Stock
Raisins,kg,g,"Raisins Secs Sultanine Bio (2,5kg)",2.1
Organic Large Oat Flakes,kg,g,Gros Flocons D'Avoine Bio,6
Rice,kg,g,Riz Basmati Complet Bio En Vrac (1kg),5.6
Bulgur,kg,g,Boulgour Bio En Vrac (1kg),5.6
Couscous,kg,g,Couscous Complet Bio En Vrac,4.8
Spaghetti,kg,g,Spaghettis Demi-Complets Bio (5kg),6.4
Fusilli,kg,g,Fusilli Semi Complètes Bio (5kg),6.4
Millet,kg,g,Graines de Millet Bio En Vrac (1kg),4.8
Polenta,kg,g,Polenta (Semoule de Maïs) Bio (1kg),4.8
Sarassin,kg,g,Sarassin,4.8
Chickpeas,kg,g,Pois chiches Bio (5kg),2.8
Green lentils,kg,g,Lentilles Vertes Bio En Vrac,2.8
Coral lentils,kg,g,Lentilles Corail Bio (3kg),2.8
Green split peas,kg,g,Pois Cassés Bio (1kg),2.8
White beans,kg,g,Haricots Blancs Bio En Vrac (1kg),2.8
Soy mince,kg,g,Protéines de Soja Gros Morceaux Bio En Vrac,1.4
Sunflower seeds,kg,g,Graines de Tournesol Bio En Vrac (500gr),2.5
Chia seeds,kg,g,Graines De Chia Bio En Vrac (500gr),1
Flax seeds,kg,g,Graines de Lin Brun Bio En Vrac (500gr),1.5
Sesam,kg,g,Graines de Sésame Bio En Vrac (500gr),1
Sugar,kg,g,Sucre Roux Bio En Vrac,1
Coffee,kg,g,Café en Grains Corsé Afrique Bio et Equitable,1
Soy sauce,L,mL,Tamari Strong Bio (1L),1
Vinaigre Balsamico,L,mL,"Vinaigre Balsamique de Modène IGP
Bio (1L)",1
Apple_Cider_Vinegar,L,mL,Apple_Cider_Vinegar,1
Tomato_Puree,kg,g,"Passata Bio
(1 Jar)",5.44
Sunflower_Oil,L,mL,Sunflower_Oil,6
Olive_Oil,L,mL,Olive_Oil,3
Almonds,kg,g,Almonds,2.5
Peanuts,kg,g,Peanuts,2.5
Amazonian_Nuts,kg,g,Amazonian_Nuts,1
